clubId,firstName,lastName,position,birthYear,niveau,isJiff
ubb,Jandre,Marais,DEUXIEME_LIGNE_DROITE,1989,68,false
ubb,Marko,Gazzotti,TROISIEME_LIGNE_AILE_GAUCHE,2002,68,true
ubb,Bastien,Vergnes-Taillefer,TROISIEME_LIGNE_AILE_GAUCHE,2000,70,true
ubb,Pete,Samu,TROISIEME_LIGNE_AILE_DROITE,1991,79,false
ubb,Mahamadou,Diaby,NUMERO_8,2000,72,true
ubb,Maxime,Lucu,DEMI_DE_MELEE,1993,80,true
ubb,Yann,Lesgourgues,DEMI_DE_MELEE,1992,68,true
ubb,Matthieu,Jalibert,OUVREUR,1998,87,true
ubb,Zack,Holmes,OUVREUR,1991,68,false
ubb,Yoram,Moefana,CENTRE_INTERIEUR,2000,84,true
ubb,Pierre,Bochaton,CENTRE_INTERIEUR,1997,68,true
ubb,Nicolas,Depoortere,CENTRE_EXTERIEUR,2003,80,true
ubb,Damian,Penaud,AILIER_DROIT,1996,90,true
ubb,Louis,Bielle-Biarrey,AILIER_GAUCHE,2003,86,true
ubb,Madosh,Tambwe,AILIER_GAUCHE,1998,72,false
ubb,Romain,Buros,ARRIERE,1998,75,true
usap,Mickaël,De Marco,PILIER_GAUCHE,1997,60,true
usap,Daniel,Bibi Biziwu,PILIER_GAUCHE,1992,55,false
usap,Brad,Roberts,TALONNEUR,1992,62,false
usap,Lucas,Velarte,TALONNEUR,1999,52,true
usap,Genesis,Mamea Lemalu,PILIER_DROIT,1993,60,false
usap,Jules,Martinez,PILIER_DROIT,2000,52,true
usap,Posolo,Tuilagi,DEUXIEME_LIGNE_GAUCHE,2003,72,true
usap,Tristan,Labouteley,DEUXIEME_LIGNE_GAUCHE,1996,57,true
usap,Karl,Martin,DEUXIEME_LIGNE_DROITE,1997,55,false
usap,Sacha,Lotrian,TROISIEME_LIGNE_AILE_GAUCHE,1999,55,true
usap,Gauthier,Doubrère,TROISIEME_LIGNE_AILE_DROITE,1995,55,true
usap,Benjamin,Grobler,NUMERO_8,1992,60,false
usap,Tom,Ecochard,DEMI_DE_MELEE,1996,52,true
usap,Brieuc,Plessis-Couillaud,DEMI_DE_MELEE,1996,55,true
usap,Tristan,Tedder,OUVREUR,1995,58,false
usap,Enzo,Hervé,OUVREUR,2000,60,true
usap,Patrick,Sobela,CENTRE_INTERIEUR,1995,55,false
usap,Alivereti,Raka,CENTRE_INTERIEUR,1991,60,false
usap,Alivereti,Duguivalu,CENTRE_EXTERIEUR,1992,58,false
usap,Mathieu,Acebes,AILIER_GAUCHE,1995,60,true
usap,Etienne,Gros,AILIER_DROIT,1996,52,true
usap,Melvyn,Jaminet,ARRIERE,1999,70,true
larochelle,Reda,Wardi,PILIER_GAUCHE,1995,77,true
larochelle,Joel,Sclavi,PILIER_DROIT,1996,76,false
larochelle,Pierre,Bourgarit,TALONNEUR,1997,77,true
larochelle,Quentin,Lespiaucq,TALONNEUR,1997,68,true
larochelle,Will,Skelton,DEUXIEME_LIGNE_GAUCHE,1992,88,false
larochelle,Thomas,Lavault,DEUXIEME_LIGNE_DROITE,1995,72,true
larochelle,Levani,Botia,TROISIEME_LIGNE_AILE_GAUCHE,1989,78,false
larochelle,Yoan,Tanga,TROISIEME_LIGNE_AILE_DROITE,1996,72,true
larochelle,Gregory,Alldritt,NUMERO_8,1997,90,true
larochelle,Tawera,Kerr-Barlow,DEMI_DE_MELEE,1990,82,false
larochelle,Thomas,Berjon,DEMI_DE_MELEE,1995,68,true
larochelle,Antoine,Hastoy,OUVREUR,1998,80,true
larochelle,Brice,Dulin,ARRIERE,1990,78,true
larochelle,Jonathan,Danty,CENTRE_INTERIEUR,1992,82,true
larochelle,UJ,Seuteni,CENTRE_EXTERIEUR,1994,72,false
larochelle,Dillyn,Leyds,AILIER_DROIT,1992,72,false
larochelle,Teddy,Thomas,AILIER_GAUCHE,1993,74,true
toulon,Dany,Priso,PILIER_GAUCHE,1992,72,true
toulon,Beka,Gigashvili,PILIER_DROIT,1996,70,false
toulon,Christopher,Tolofua,TALONNEUR,1993,72,true
toulon,Léo,Drouet,TALONNEUR,1998,62,true
toulon,Eben,Etzebeth,DEUXIEME_LIGNE_GAUCHE,1991,87,false
toulon,Mateo,Carreras Garcia,DEUXIEME_LIGNE_DROITE,1996,66,true
toulon,Charles,Ollivon,TROISIEME_LIGNE_AILE_GAUCHE,1993,84,true
toulon,Kane,Le Roux,TROISIEME_LIGNE_AILE_DROITE,1989,72,false
toulon,Esteban,Abadie,NUMERO_8,1998,72,true
toulon,Baptiste,Serin,DEMI_DE_MELEE,1994,75,true
toulon,Teddy,Iribaren,DEMI_DE_MELEE,1992,65,true
toulon,Dan,Biggar,OUVREUR,1989,80,false
toulon,Aymeric,Luc,ARRIERE,1996,68,true
toulon,Mathis,Galthié,CENTRE_INTERIEUR,2002,68,true
toulon,Jérémy,Sinzelle,CENTRE_EXTERIEUR,1989,70,true
toulon,Gabin,Villiere,AILIER_DROIT,1996,75,true
toulon,Jiuta,Wainiqolo,AILIER_GAUCHE,1998,76,false
racing,Eddy,Ben Arous,PILIER_GAUCHE,1989,68,true
racing,Cedate,Gomes Sa,PILIER_DROIT,1995,70,false
racing,Camille,Chat,TALONNEUR,1995,72,true
racing,Janick,Tarrit,TALONNEUR,1994,60,true
racing,Cameron,Woki,DEUXIEME_LIGNE_GAUCHE,1998,80,true
racing,Boris,Palu,DEUXIEME_LIGNE_DROITE,1997,70,true
racing,Wenceslas,Lauret,TROISIEME_LIGNE_AILE_GAUCHE,1989,68,true
racing,Henry,Chavancy,TROISIEME_LIGNE_AILE_DROITE,1989,70,true
racing,Baptiste,Chouzenoux,NUMERO_8,1999,72,true
racing,Nolann,Le Garrec,DEMI_DE_MELEE,2002,76,true
racing,Teddy,Iribaren,DEMI_DE_MELEE,1992,62,true
racing,Antoine,Gibert,OUVREUR,1999,74,true
racing,Max,Spring,ARRIERE,2002,72,true
racing,Gael,Fickou,CENTRE_INTERIEUR,1994,82,true
racing,Olivier,Klemenczak,CENTRE_EXTERIEUR,1991,68,true
racing,Henry,Arundell,AILIER_DROIT,2002,82,false
racing,Vinaya,Habosi,AILIER_GAUCHE,1999,78,false
stade,Giorgi,Chilachava,PILIER_GAUCHE,1991,68,false
stade,Paul,Alo-Emile,PILIER_DROIT,1993,68,false
stade,Lucas,Peyresblanques,TALONNEUR,1998,65,true
stade,Geoffrey,Cros,TALONNEUR,1992,62,true
stade,Pierre-Henri,Azagoh,DEUXIEME_LIGNE_GAUCHE,1999,72,true
stade,Hassane,Kolingar,DEUXIEME_LIGNE_DROITE,1995,68,false
stade,Sekou,Macalou,TROISIEME_LIGNE_AILE_GAUCHE,1995,82,true
stade,Pierre,Bourgarit,TROISIEME_LIGNE_AILE_DROITE,1996,65,true
stade,Romain,Briatte,NUMERO_8,1989,68,true
stade,Lester,Etien,DEMI_DE_MELEE,2003,68,true
stade,Brad,Weber,DEMI_DE_MELEE,1991,70,false
stade,Joris,Segonds,OUVREUR,1996,72,true
stade,Léo,Barre,ARRIERE,2002,70,true
stade,Tani,Vili,CENTRE_INTERIEUR,1996,72,false
stade,Julien,Delbouis,CENTRE_EXTERIEUR,2000,68,true
stade,Lester,Etien,AILIER_DROIT,2003,68,true
stade,Peniteli,Lamositele,AILIER_GAUCHE,1992,72,false
clermont,Étienne,Falgoux,PILIER_GAUCHE,1992,70,true
clermont,Régis,Montagne,PILIER_DROIT,1993,68,true
clermont,Benjamin,Boudou,TALONNEUR,1993,68,true
clermont,Etienne,Fourcade,TALONNEUR,2000,62,true
clermont,Killian,Geraci,DEUXIEME_LIGNE_GAUCHE,1996,70,true
clermont,Cristian,Ojovan,DEUXIEME_LIGNE_DROITE,1991,68,false
clermont,Alexandre,Fischer,TROISIEME_LIGNE_AILE_GAUCHE,1996,72,true
clermont,Judicael,Cancoriet,TROISIEME_LIGNE_AILE_DROITE,1996,70,true
clermont,Fritz,Lee,NUMERO_8,1988,70,false
clermont,Benjamin,Urdapilleta,DEMI_DE_MELEE,1989,68,false
clermont,Sébastien,Bezy,DEMI_DE_MELEE,1991,65,true
clermont,Anthony,Belleau,OUVREUR,1995,72,true
clermont,Jean-Pascal,Barraque,ARRIERE,1991,72,true
clermont,Pierre,Fouyssac,CENTRE_INTERIEUR,2000,68,true
clermont,George,Moala,CENTRE_EXTERIEUR,1990,75,false
clermont,Apisai,Naqalevu,AILIER_DROIT,1991,72,false
clermont,Alex,Newsome,AILIER_GAUCHE,1995,70,false
lyon,Hamza,Kaabeche,PILIER_GAUCHE,1994,68,true
lyon,Sinjun,Reglain,PILIER_DROIT,1996,65,true
lyon,Yann,Lambert,TALONNEUR,1998,65,true
lyon,Mickael,Ivaldi,TALONNEUR,1990,62,true
lyon,Felix,Lambey,DEUXIEME_LIGNE_GAUCHE,1994,68,true
lyon,Kane,Douglas,DEUXIEME_LIGNE_DROITE,1989,62,false
lyon,Killian,Tixeront,TROISIEME_LIGNE_AILE_GAUCHE,2000,65,true
lyon,Theo,William,TROISIEME_LIGNE_AILE_DROITE,2000,68,true
lyon,Lenni,Nouchi,NUMERO_8,2001,68,true
lyon,Baptiste,Couilloud,DEMI_DE_MELEE,1996,72,true
lyon,Jean-Marc,Doussain,DEMI_DE_MELEE,1992,60,true
lyon,Léo,Berdeu,OUVREUR,1995,68,true
lyon,Davit,Niniashvili,ARRIERE,2002,82,false
lyon,Thibaut,Regard,CENTRE_INTERIEUR,1993,65,true
lyon,Xavier,Mignot,CENTRE_EXTERIEUR,1992,68,true
lyon,Ethan,Dumortier,AILIER_DROIT,2000,75,true
lyon,Noa,Nakaitaci,AILIER_GAUCHE,1990,65,true
montpellier,Thomas,Du Toit,PILIER_DROIT,1995,70,false
montpellier,Enzo,Forletta,PILIER_GAUCHE,1998,62,true
montpellier,Brandon,Paenga-Amosa,TALONNEUR,1995,68,false
montpellier,Yvan,Reilhac,TALONNEUR,1992,60,true
montpellier,Bastien,Chalureau,DEUXIEME_LIGNE_GAUCHE,1994,72,true
montpellier,Florian,Verhaeghe,DEUXIEME_LIGNE_DROITE,1996,68,true
montpellier,Yacouba,Camara,TROISIEME_LIGNE_AILE_GAUCHE,1994,68,true
montpellier,Lenni,Nouchi,TROISIEME_LIGNE_AILE_DROITE,2001,62,true
montpellier,Zach,Mercer,NUMERO_8,1997,80,false
montpellier,Benoît,Paillaugue,DEMI_DE_MELEE,1986,62,true
montpellier,Léo,Coly,DEMI_DE_MELEE,1996,60,true
montpellier,Louis,Foursans,OUVREUR,1996,62,true
montpellier,Anthony,Bouthier,ARRIERE,1992,72,true
montpellier,Arthur,Vincent,CENTRE_INTERIEUR,1999,72,true
montpellier,Yvan,Reilhac,CENTRE_EXTERIEUR,1992,60,true
montpellier,Vincent,Rattez,AILIER_DROIT,1992,68,true
montpellier,Gabriel,Ngandebe,AILIER_GAUCHE,1995,62,true
castres,Antoine,Tichit,PILIER_GAUCHE,1995,62,true
castres,Wilfrid,Hounkpatin,PILIER_DROIT,1991,65,true
castres,Gaetan,Barlot,TALONNEUR,1995,68,true
castres,Mathieu,Babillot,TALONNEUR,1991,55,true
castres,Florent,Vanverberghe,DEUXIEME_LIGNE_GAUCHE,1991,62,true
castres,Thomas,Staniforth,DEUXIEME_LIGNE_DROITE,1991,60,false
castres,Mathieu,Babillot,TROISIEME_LIGNE_AILE_GAUCHE,1991,65,true
castres,Anthony,Jelonch,TROISIEME_LIGNE_AILE_DROITE,1996,65,true
castres,Tom,Staniforth,NUMERO_8,1991,62,false
castres,Santiago,Arata,DEMI_DE_MELEE,1989,65,false
castres,Rory,Kockott,DEMI_DE_MELEE,1986,55,false
castres,Louis,Le Brun,OUVREUR,1995,65,true
castres,Geoffrey,Palis,ARRIERE,1991,62,true
castres,Vilimoni,Botitu,CENTRE_INTERIEUR,1998,65,false
castres,Adrea,Cocagi,CENTRE_EXTERIEUR,1995,58,false
castres,Filipo,Nakosi,AILIER_DROIT,1995,62,false
castres,Romain,Seguret,AILIER_GAUCHE,1996,55,true
pau,Théo,Idjellidaine,PILIER_GAUCHE,1998,60,true
pau,Quentin,Walcker,PILIER_DROIT,1995,58,true
pau,Quentin,Lespiaucq,TALONNEUR,1997,62,true
pau,Pierre,Bochaton,TALONNEUR,1997,55,true
pau,Will,Whetton,DEUXIEME_LIGNE_GAUCHE,1995,65,false
pau,Antoine,Frisch,DEUXIEME_LIGNE_DROITE,1996,58,true
pau,Reuben,Thorne,TROISIEME_LIGNE_AILE_GAUCHE,1995,62,false
pau,Théo,Lachaud,TROISIEME_LIGNE_AILE_DROITE,2000,58,true
pau,Jaco,Coetzee,NUMERO_8,1996,68,false
pau,Thibault,Daubagna,DEMI_DE_MELEE,1991,60,true
pau,Eliott,Roudil,DEMI_DE_MELEE,1996,55,true
pau,Joe,Simmonds,OUVREUR,1997,68,false
pau,Clément,Laporte,ARRIERE,1996,58,true
pau,Tumua,Manu,CENTRE_INTERIEUR,1992,62,false
pau,Tristan,Tedder,CENTRE_EXTERIEUR,1995,58,false
pau,Émilien,Gailleton,AILIER_DROIT,2003,72,true
pau,Daniel,Ikpefan,AILIER_GAUCHE,1996,58,false
bayonne,Hugo,Auradou,PILIER_GAUCHE,2002,62,true
bayonne,Lucas,Martin,PILIER_DROIT,1998,60,true
bayonne,Guillaume,Marchand,TALONNEUR,2000,62,true
bayonne,Maxime,Granouillet,TALONNEUR,1995,55,true
bayonne,Joel,Merkler,DEUXIEME_LIGNE_GAUCHE,1998,62,true
bayonne,Pierre,Bocheton,DEUXIEME_LIGNE_DROITE,1995,58,true
bayonne,Manex,Ducat,TROISIEME_LIGNE_AILE_GAUCHE,1992,60,true
bayonne,Aaron,Tuisue,TROISIEME_LIGNE_AILE_DROITE,1990,62,false
bayonne,Konstantine,Mikautadze,NUMERO_8,1995,62,false
bayonne,Maxime,Machenaud,DEMI_DE_MELEE,1989,62,true
bayonne,Guillaume,Rouet,DEMI_DE_MELEE,1992,55,true
bayonne,Camille,Lopez,OUVREUR,1989,68,true
bayonne,Rémi,Bourdeau,ARRIERE,1995,58,true
bayonne,Manu,Tuilagi,CENTRE_INTERIEUR,1991,72,false
bayonne,Tom,Spring,CENTRE_EXTERIEUR,1996,58,true
bayonne,Aymeric,Luc,AILIER_DROIT,1996,62,true
bayonne,Tani,Vili,AILIER_GAUCHE,1996,62,false
vannes,Pierre,Sayerse,PILIER_GAUCHE,1992,55,true
vannes,Adrien,Lapègue,PILIER_DROIT,1995,52,true
vannes,Florian,Dufour,TALONNEUR,1996,55,true
vannes,Léo,Banos,TALONNEUR,2000,48,true
vannes,Sam,Williams,DEUXIEME_LIGNE_GAUCHE,1992,55,false
vannes,Pita,Anae,DEUXIEME_LIGNE_DROITE,1996,52,false
vannes,Antoine,Erbani,TROISIEME_LIGNE_AILE_GAUCHE,1995,55,true
vannes,Jordan,Joseph,TROISIEME_LIGNE_AILE_DROITE,1999,52,true
vannes,Maxime,Lafage,NUMERO_8,1990,55,true
vannes,Théo,Loubat,DEMI_DE_MELEE,1996,55,true
vannes,Brieg,Pioch,DEMI_DE_MELEE,2000,48,true
vannes,Charlie,Cassang,OUVREUR,1996,55,true
vannes,Thomas,Combezou,ARRIERE,1992,58,true
vannes,Tom,Wallez,CENTRE_INTERIEUR,1995,55,true
vannes,Vincent,Etcheto,CENTRE_EXTERIEUR,1996,52,true
vannes,Pierre,Boudehent,AILIER_DROIT,1998,55,true
vannes,Maoré,Cousin,AILIER_GAUCHE,2002,52,true
